ac_number,constituency,winner_2026,winning_party_2026,winner_votes_2026,total_votes_polled_2026,total_electors_2026,turnout_2026,reserved,region,winner_2021,winning_party_2021,winner_votes_2021,total_votes_polled_2021,total_electors_2021,turnout_2021,turnout_delta,seat_flipped,winner_vote_share_2026,winner_vote_share_2021,margin_2021,margin_2026
191,Madurai North,A.KALLANAI,TVK,72853,161801,221174,73.16,GEN,South,THALAPATHI G,DMK,73010,156556,246157,63.6,9.559999999999995,True,45.03,46.64,22916,18038
192,Madurai South,M.M.GOPISON,TVK,62415,141503,179919,78.65,GEN,South,BOOMINATHAN.M,DMK,62812,147833,231713,63.8,14.850000000000009,True,44.11,42.49,6515,21529
193,Madurai Central,MADHAR BADHURUDEEN,TVK,63414,148586,199618,74.44,GEN,South,PALANIVEL THIAGA RAJAN,DMK,73205,149430,244847,61.03,13.409999999999997,True,42.68,48.99,34176,19128
194,Madurai West,THANGAPANDI SR,TVK,88250,216403,275516,78.54,GEN,South,RAJU. K,AIADMK,83883,201694,309727,65.12,13.420000000000002,True,40.78,41.59,9121,11931
195,Thiruparankundram,NIRMALKUMAR. R.,TVK,114316,255466,311400,82.04,GEN,South,"RAJANCHELLAPPA, V.V.",AIADMK,103683,235849,324280,72.73,9.310000000000002,True,44.75,43.96,29489,41553
196,Thirumangalam,MANIMARAN.M,DMK,88291,230980,261238,88.42,GEN,South,UDHAYAKUMAR R B,AIADMK,100338,220495,282216,78.13,10.290000000000006,True,38.22,45.51,14087,23807
197,Usilampatti,VIJAY. M,TVK,65743,224048,266192,84.17,GEN,South,AYYAPPAN P,AIADMK,71255,212513,287880,73.82,10.350000000000009,True,29.34,33.53,7477,1805
198,Andipatti,MAHARAJAN.A,DMK,74324,217329,256529,84.72,GEN,South,A.MAHARAJAN,DMK,93541,209540,279947,74.85,9.870000000000005,False,34.2,44.64,8538,9554
199,Periyakulam,SABARI IYNGARAN G.,TVK,85656,211209,265830,79.45,SC,South,K.S.SARAVANAKUMAAR,DMK,92251,201797,288529,69.94,9.510000000000005,True,40.56,45.71,21321,19321
200,Bodinayakanur,PANNEERSELVAM.O,DMK,85206,220628,263292,83.8,GEN,South,O.PANNEERSELVAM,AIADMK,100050,214795,281514,76.3,7.5,True,38.62,46.58,11021,6805
201,Cumbum,JEGANATHMISHRA PLA,TVK,85394,210574,255888,82.29,GEN,South,N.Ramakrishnan,DMK,104800,202275,291001,69.51,12.780000000000001,True,40.55,51.81,42413,751
202,Rajapalayam,JEGADESHWARI. K,TVK,65548,183020,214192,85.45,GEN,South,THANGAPANDIAN S.,DMK,74158,178708,241857,73.89,11.560000000000002,True,35.81,41.5,3898,10605
203,Srivilliputhur,KARTHIK.A,TVK,65653,193471,224122,86.32,SC,South,"MANRAJ, E.M.",AIADMK,70475,185039,252993,73.14,13.179999999999993,True,33.93,38.09,12738,8581
204,Sattur,KADARKARAIRAJ. A,DMK,62060,198734,229330,86.66,GEN,South,"RAGHURAMAN,  A.R.R.",DMK,74174,191783,255132,75.17,11.489999999999995,False,31.23,38.68,11179,5989
205,Sivakasi,KEERTHANA S,TVK,68709,193517,228205,84.8,GEN,South,Ashokan.G,INC,78947,185047,263750,70.16,14.64,True,35.51,42.66,17319,11670
206,Virudhunagar,SELVAM P,TVK,63653,167832,200618,83.66,GEN,South,SEENIVASAN A.R.R,DMK,73297,161717,226908,71.27,12.39,True,37.93,45.32,21339,9391
207,Aruppukkottai,RAMACHANDRAN. K.K.S.S.R,DMK,65104,178413,207750,85.88,GEN,South,K.K.S.S.R.RAMACHANDRAN,DMK,91040,171201,226456,75.6,10.280000000000001,False,36.49,53.18,39034,4943
208,Tiruchuli,THANGAM THENARASU,DMK,75085,181250,205301,88.29,GEN,South,THANGAM THENARASU,DMK,102225,172811,223097,77.46,10.830000000000013,False,41.43,59.15,60992,13485
209,Paramakudi,ADVOCATE. KATHIRAVAN. K.K,DMK,59161,189753,234608,80.88,SC,South,MURUGESAN S,DMK,84864,182158,258051,70.59,10.289999999999992,False,31.18,46.59,13285,3548
210,Tiruvadanai,RAJEEV,TVK,69551,220278,283864,77.6,GEN,South,KARUMANICKAM,INC,79364,201815,293677,68.72,8.879999999999995,True,31.57,39.33,13852,2513
211,Ramanathapuram,KATHARBATCHA MUTHURAMALINGAM,DMK,89137,237576,312303,76.07,GEN,South,KATHARBATCHA MUTHURAMALINGAM,DMK,111082,214098,311144,68.81,7.259999999999991,False,37.52,51.88,50479,12459
212,Mudhukulathur,R.S.RAJAKANNAPPAN,DMK,68003,231373,298958,77.39,GEN,South,R.S.RAJAKANNAPPAN,DMK,101901,221213,314715,70.29,7.099999999999994,False,29.39,46.06,20721,16598
213,Vilathikulam,MARKANDAYAN G V,DMK,58395,174814,204982,85.28,GEN,South,MARKANDAYAN V,DMK,90348,167169,218464,76.52,8.760000000000005,False,33.4,54.05,38549,8228
214,Thoothukkudi,SRINATH,TVK,100536,204712,250587,81.69,GEN,South,P.Geetha Jeevan,DMK,92314,188407,289545,65.07,16.620000000000005,True,49.11,49.0,50310,37731
